# Data format: "%float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
0.00474,-0.01514,-0.01703
0.02251,-0.00723,-0.02449
0.01650,-0.03435,-0.05485
0.02614,-0.02207,-0.02604
0.01105,-0.02189,-0.04041
-0.00611,0.00294,-0.02226
0.02276,-0.03700,-0.03999
0.01294,-0.01389,-0.06473
0.01364,-0.02506,-0.04744
0.02162,-0.12934,-0.08371
0.05383,0.07911,-0.03676
0.03236,0.00213,0.00189
-0.01695,-0.04652,-0.02856
0.01267,0.02004,-0.01639
0.00294,-0.09865,-0.06863
0.03484,-0.03484,-0.04752
0.01043,-0.01017,-0.04590
0.00119,-0.01480,-0.02259
-0.00878,-0.01139,-0.02319
0.08600,-0.02297,-0.05872
0.03929,0.09879,0.00364
-0.03386,-0.05567,-0.06354
0.00685,-0.01458,-0.00955
0.04050,-0.05577,-0.05103
0.01231,-0.02739,-0.03332
0.05184,-0.01499,-0.04407
0.01294,-0.03560,-0.01597
0.04443,-0.04062,-0.03202
0.02432,-0.02793,-0.03312
0.00841,-0.01246,-0.03340
0.03666,-0.03722,-0.03000
0.03518,0.00350,-0.04284
0.06890,-0.01617,-0.05329
0.01293,-0.04106,-0.09059
0.03057,-0.00920,-0.07741
0.01826,-0.02897,-0.07305
0.02862,-0.00515,-0.04843
0.02855,0.06777,-0.14548
0.05301,-0.04393,-0.11515
0.02613,-0.05523,-0.05713
0.03262,0.02802,-0.01703
0.01680,-0.03775,0.01017
0.02683,0.03346,-0.03758
0.02816,-0.04469,-0.00356
-0.00049,0.00889,0.06171
0.01716,-0.00562,0.09231
0.01064,-0.00820,0.09295
0.03224,-0.01291,-0.01232
0.03321,-0.00394,-0.00579
-0.01024,0.07774,0.08901
0.07096,-0.04240,-0.04538
0.08510,-0.02882,-0.05723
0.09361,-0.03278,-0.07605
0.10508,-0.00931,-0.05922
0.02420,-0.02511,-0.03738
0.03042,-0.04848,-0.02408
0.03455,-0.01538,0.00757
0.03087,-0.00971,-0.00395
0.05195,-0.00485,-0.00309
0.01620,0.07769,0.04692
0.06833,0.02863,-0.03188
0.06477,0.00826,-0.03131
0.00202,-0.04736,-0.03918
-0.05159,-0.13034,-0.06743
0.05810,-0.03240,-0.02791
0.00447,-0.09169,-0.04653
0.06332,0.00257,-0.02744
0.02342,-0.10799,-0.06849
0.06467,-0.02328,-0.00427
0.00796,-0.11600,-0.06931
0.05345,-0.06784,-0.04545
0.05066,-0.07599,-0.02663
0.13492,-0.00138,-0.03724
0.16684,-0.02048,-0.03297
0.04752,-0.09004,-0.00966
0.07079,-0.31776,-0.13788
-0.11642,-0.20298,-0.07769
0.08731,0.03905,-0.03833
0.10111,-0.13005,0.02312
0.10207,0.54829,0.03522
-0.07374,-0.13791,0.02961
-0.10591,-0.13816,-0.05198
-0.08945,-0.21545,-0.05528
-0.03467,-0.12754,-0.04799
0.05590,0.09939,-0.04236
0.13795,0.05297,0.02667
-0.03102,0.09356,0.00452
-0.04447,-0.15881,-0.02180
-0.00578,-0.11191,-0.05833
0.04145,-0.08532,-0.06721
0.09269,0.17096,0.07329
0.04105,0.05757,0.01188
-0.12971,0.02416,0.07222
-0.01762,-0.08854,-0.08583
0.06258,-0.11612,-0.08037
0.04886,0.06612,0.01758
-0.00714,0.06548,-0.00668
0.04760,-0.00672,-0.07793
0.01432,-0.06287,-0.04751
-0.00128,-0.01709,-0.01075
0.02424,-0.02436,-0.01311
0.05644,-0.00272,-0.01913
0.02838,-0.00804,-0.05340
0.01575,-0.02166,-0.03889
0.03911,-0.03694,-0.01579
0.00539,0.00287,-0.01918
0.02482,-0.03037,-0.01753
0.02416,-0.05115,-0.02752
0.05613,-0.04152,-0.04381
0.03708,-0.04524,-0.00144
0.03385,-0.02505,-0.02013
0.02204,-0.01865,-0.02326
0.02117,-0.01557,-0.01937
0.02282,-0.01881,-0.02743
0.01062,-0.00302,-0.00974
0.02563,-0.01267,-0.01221
0.01948,-0.03034,-0.02579
0.03371,-0.07524,-0.03127
0.01547,-0.02724,-0.02692
-0.00062,-0.02115,-0.04808
0.02607,-0.01946,-0.04395
0.01460,-0.02739,-0.03359
0.01926,-0.03603,-0.01938
0.01091,-0.03615,-0.03842
0.03676,-0.04046,-0.04069
0.00843,-0.03306,-0.03707
0.01667,-0.03911,-0.02848
0.00269,-0.03288,-0.04060
0.01365,-0.02708,-0.02333
0.05104,-0.02668,-0.04647
0.02805,-0.01622,-0.02891
0.02651,-0.01701,-0.05901
0.03699,-0.01380,-0.03118
-0.00878,0.00257,-0.05118
0.01545,-0.03016,-0.02494
0.02369,-0.03620,-0.01637
0.02284,-0.01784,0.00819
0.02589,-0.02238,-0.04201
0.01746,-0.02416,-0.01623
0.01394,-0.03373,-0.04863
0.04124,-0.01656,-0.01738
0.05964,-0.01252,-0.04956
0.02897,-0.02808,-0.03073
-0.00823,-0.01729,-0.02499
0.02389,-0.02481,-0.02773
0.00866,-0.00367,-0.03219
0.02851,-0.01279,-0.01015
0.00733,-0.05014,-0.01780
0.01544,-0.02691,-0.01255
-0.00365,-0.03031,-0.05942
0.01261,-0.00984,-0.03514
0.01021,0.00771,-0.04064
0.02114,-0.02853,-0.05786
0.01397,-0.00398,-0.03281
0.01716,-0.06005,-0.03828
-0.00656,-0.01763,-0.03057
0.04310,-0.02867,-0.02704
0.03573,-0.01615,-0.01221
-0.00836,-0.02625,-0.02626
0.01665,-0.00137,-0.03845
0.03237,-0.00786,-0.03452
0.00426,-0.00007,-0.01368
0.00635,-0.02754,-0.04608
0.01446,-0.03646,-0.03739
0.01248,-0.03614,-0.02936
0.01932,-0.02686,-0.00268
0.01650,-0.04784,-0.02166
0.00962,-0.02120,-0.02439
0.03758,-0.05496,-0.03146
0.05440,-0.02650,-0.03521
0.01950,-0.01566,-0.02046
0.00429,-0.05941,-0.03504
0.03055,-0.02883,-0.05154
0.00230,-0.06201,-0.02704
0.00349,-0.03034,-0.04517
-0.00046,-0.01489,-0.02549
0.04437,-0.04326,-0.02241
0.05357,-0.03662,-0.08010
-0.03568,0.03725,-0.00380
0.01010,-0.08296,-0.02862
0.05700,-0.02700,-0.04775
-0.00902,0.01258,-0.00333
0.00154,-0.00645,-0.03396
0.03364,-0.03451,-0.04015
0.11018,-0.01050,-0.10215
0.00976,0.00513,-0.02582
0.05728,-0.06547,-0.05878
-0.03961,-0.05571,0.02239
0.01633,-0.01583,-0.03012
0.00854,-0.04752,-0.02175
0.01734,-0.01320,-0.03787
0.00991,-0.00522,0.02186
0.02418,-0.02601,-0.06319
-0.06700,-0.02226,0.02842
0.03813,0.01826,-0.03423
0.02300,-0.03445,-0.05235
0.00944,-0.02231,-0.05788
0.00128,-0.01535,-0.03218
0.00313,-0.00688,-0.04044
0.04230,-0.03167,-0.03052
-0.07108,-0.05698,0.04423
-0.00045,0.01113,-0.03165
-0.01213,-0.03249,-0.03457
-0.00902,-0.02872,-0.00206
0.03864,-0.00895,-0.06004
0.02355,-0.01392,-0.05065
-0.04805,-0.08032,-0.01563
0.02256,-0.03083,-0.02930
-0.00593,-0.00597,-0.02195
-0.03118,0.00566,0.03532
0.02263,0.00099,-0.04385
0.01520,0.02534,-0.02555
0.02640,-0.00795,-0.04299
0.06881,-0.02238,-0.07334
0.00505,-0.01501,-0.01593
-0.05070,-0.00380,-0.01212
0.03681,-0.04021,-0.02935
-0.00569,0.01429,-0.03079
0.00826,0.00202,-0.02935
0.01247,-0.03851,-0.00765
-0.01432,-0.01106,-0.00838
-0.01791,0.05616,-0.02055
0.00801,-0.00691,-0.03311
0.02454,0.01543,-0.04719
0.00532,-0.00383,-0.03128
0.00502,-0.02412,-0.02392
-0.02758,-0.04337,-0.02386
0.00639,-0.05714,-0.04541
0.00170,-0.07989,-0.02857
0.01541,-0.00608,0.00342
-0.00237,-0.00336,-0.02397
0.02744,-0.04788,-0.00483
-0.01143,0.02957,-0.01243
-0.00078,0.03797,-0.01257
0.00603,-0.00101,-0.03058
0.00471,-0.03320,-0.02956
-0.00708,-0.03852,-0.02566
-0.02669,-0.04689,-0.03414
0.00479,-0.04765,-0.02312
