# Data format: "%float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
-0.14340,14.43565,4.67532
-0.57120,14.62726,5.01637
0.21172,14.09048,4.72736
-0.33566,14.10413,4.70378
-0.30362,14.06297,4.94215
-0.23458,14.38907,5.34861
-0.04354,14.56335,4.74279
-0.15758,14.49633,4.61629
0.22376,14.48545,5.05223
0.34071,14.86639,4.76240
-0.29399,14.69213,4.72852
-0.05338,14.73459,4.92325
0.25563,14.52254,4.79417
-0.40388,14.64153,4.49428
0.04115,14.35949,4.71484
-0.33371,14.27845,5.17122
-0.08142,14.52665,4.99965
-0.34429,14.65281,4.69653
-0.00575,14.55575,4.76359
-0.01590,14.06807,4.71050
0.28208,14.66974,5.10348
-0.06374,14.09161,4.90988
-0.12488,14.14382,4.93655
0.10609,14.59204,4.77240
0.24093,14.39631,4.66001
0.08216,14.58808,4.81437
-0.11929,14.72504,4.71504
0.19486,15.07877,5.09316
0.33832,14.35137,4.87821
-0.00191,14.77733,4.61745
0.02851,14.56365,5.00631
0.06213,14.56913,4.63284
-0.02230,14.68023,4.93275
0.05722,14.64753,5.08590
-0.02259,14.68038,4.93229
-0.43921,14.02664,4.63578
-0.11677,14.72720,5.33220
-0.30169,14.58474,5.10223
0.10018,14.12174,4.60847
0.08658,14.18201,4.55068
-0.03779,14.56845,5.02366
0.13574,14.94398,5.04483
-0.26651,14.79435,4.69348
-0.06768,14.39019,4.59727
-0.12281,14.55336,4.86238
0.15928,14.94821,5.00199
0.30777,14.69211,4.94777
0.11198,14.51662,4.93390
-0.22376,14.48905,5.02438
-0.05183,14.23701,4.92781
0.12909,14.77005,4.57527
-0.08638,14.52887,4.99265
-0.24925,14.34392,5.33256
0.14092,14.56880,4.89864
-0.04417,14.42618,4.66907
0.00052,14.62216,4.65669
0.10043,14.81271,4.95591
0.01546,14.82908,4.91022
-0.09007,14.62221,4.71846
-0.21880,14.56889,5.14623
-0.09201,14.51279,5.09943
-0.06646,14.62634,4.67593
-0.02713,14.86897,5.00218
-0.37835,14.60290,4.72383
-0.08997,14.68542,4.94880
-0.09928,15.09088,4.58998
-0.04913,14.11280,5.08457
-0.17207,14.48259,4.71481
-1.01004,13.04669,3.04286
-0.16375,14.31449,6.72433
-0.13349,14.47280,4.11830
0.14854,13.97435,4.56444
-0.35219,14.54537,5.07039
-0.47405,14.64966,5.12400
0.27224,14.96773,4.16857
-0.49332,14.40962,4.13557
0.19936,14.94073,5.02270
-0.32393,14.47155,4.57303
-0.05794,14.56471,4.11355
-0.41396,14.44002,4.51953
-0.15995,14.42243,4.77225
-0.27669,14.57445,4.83408
-0.08404,14.45109,4.53729
0.13560,14.36504,4.93268
0.10643,14.24991,4.73675
0.18484,14.54592,4.69704
0.01932,14.18843,5.18730
0.03883,14.70911,5.02408
-0.16210,14.39102,4.65633
0.09612,14.78182,4.83849
0.28974,14.36145,4.84974
-0.11005,14.57370,5.03954
-0.10442,14.19829,4.89404
0.00061,14.31070,4.73913
0.11416,14.47279,5.21110
-0.12255,14.71204,4.48438
0.19537,14.51794,4.86800
0.20116,14.14249,4.72265
0.02024,14.62899,5.23020
0.14813,14.97958,4.49337
-0.07222,14.33012,4.98129
-0.16219,14.26703,4.81228
-0.05242,14.85076,4.81805
0.08258,14.68652,4.82144
-0.09421,14.43553,4.64217
-0.58353,14.61614,4.77849
-0.26403,14.95497,4.93360
0.05929,14.68262,4.86322
0.46998,14.30100,5.11184
-0.03622,14.50841,4.45595
-0.22102,14.58667,5.03387
-0.21758,14.36743,4.84564
-0.22896,14.75824,5.21369
0.15719,14.63793,5.08119
